  1   1 0.8791
  1   2 2.1402
  1   3 1.7591
  2   3 1.9448
  2   4 1.6757
  3   6 2.5385
  3   7 2.4312
  4   9 2.5180
  5  10 2.4278
  5  11 2.4059
  6  12 2.4703
  6  13 2.4614
  6  14 2.5037
  7  14 2.5579
  7  15 2.6061
  8  16 2.7013
  8  17 2.6953
  8  18 2.7745
  9  19 2.8976
 10  17 3.0428
 10  18 2.9719
 10  19 3.0081
 10  20 3.0053
 10  21 2.9672
 10  22 2.9541
 10  23 2.9126
 10  24 2.9032
 10  25 2.9305
 10  26 2.9268
 10  28 2.9632
 11  20 2.9716
 11  21 3.0138
 11  22 2.9852
 11  23 2.9936
 11  24 2.9736
 11  25 2.9770
 11  26 2.9928
 11  27 3.0133
 11  28 3.0394
 11  29 3.0915
 11  30 3.1172
 11  31 3.1702
 12  24 3.0568
 12  25 3.0280
 12  26 3.0334
 13  27 3.0605
 14  28 3.1223
 14  29 3.1168
 14  30 3.1332
 15  31 3.1888
 16  32 3.2608
 16  34 3.2845
 16  36 3.2982
 17  35 3.3652
 17  37 3.3840
 18  32 3.3462
 18  33 3.3434
 18  34 3.3649
 18  35 3.3632
 18  36 3.3902
 18  37 3.3901
 18  38 3.4020
 18  39 3.4085
 18  40 3.4269
 18  46 3.4363
 19  38 3.4262
 19  39 3.4346
 19  40 3.4378
 19  41 3.4514
 19  42 3.4512
 19  43 3.4551
 19  44 3.4558
 19  45 3.4599
 19  46 3.4552
 19  47 3.4529
 20  40 3.4764
 20  41 3.4768
 20  42 3.5063
 20  43 3.4928
 20  44 3.5155
 20  45 3.4931
 20  46 3.4925
 20  47 3.4771
 20  48 3.4738
 20  50 3.5145
 21  45 3.5443
 22  46 3.6052
 22  47 3.5944
 22  48 3.5912
 22  49 3.5735
 22  50 3.5704
 23  51 3.5994
 24  50 3.6604
 24  52 3.6424
 24  53 3.6588
 24  54 3.6866
 25  55 3.7057
 26  54 3.6931
 26  56 3.7371
 26  57 3.7534
 26  58 3.7748
 27  59 3.7875
 28  58 3.7748
 28  60 3.8119
 28  61 3.8221
 28  62 3.8406
 28  64 3.8587
 29  63 3.8823
 29  65 3.9022
 30  64 3.9286
 30  66 3.9496
 30  68 3.9665
 30  70 3.9845
 31  69 3.9973
 31  71 4.0118
 32  70 4.0414
 32  72 4.0577
 32  73 4.0634
 32  74 4.0744
 32  76 4.0812
 33  75 4.0969
 34  74 4.0700
 34  76 4.1397
 34  77 4.1397
 34  78 4.1407
 34  80 4.1399
 34  82 4.1399
 35  79 4.1630
 35  81 4.1599
 36  72 4.1635
 36  74 4.1871
 36  75 4.2097
 36  76 4.2020
 36  77 4.2082
 36  78 4.2032
 36  79 4.2034
 36  80 4.1976
 36  81 4.1953
 36  82 4.1922
 36  83 4.1860
 36  84 4.1882
 36  85 4.1846
 36  86 4.1836
 36  87 4.1986
 36  88 4.2174
 36  89 4.2290
 36  90 4.2428
 36  91 4.2549
 36  92 4.2732
 36  93 4.2802
 36  94 4.3014
 36  95 4.3078
 36  96 4.3282
 37  76 4.2289
 37  77 4.2380
 37  78 4.2410
 37  79 4.2303
 37  80 4.2287
 37  81 4.2225
 37  82 4.2164
 37  83 4.2057
 37  84 4.1992
 37  85 4.2031
 37  86 4.2019
 37  87 4.1981
 37  88 4.2178
 37  89 4.2419
 37  90 4.2599
 37  91 4.2783
 37  92 4.2983
 37  93 4.3135
 37  94 4.3287
 37  95 4.3517
 37  96 4.3637
 37  97 4.4458
 37  98 4.4577
 38  78 4.2550
 38  79 4.2577
 38  80 4.2550
 38  81 4.2534
 38  82 4.2457
 38  83 4.2432
 38  84 4.2364
 38  85 4.2267
 38  86 4.2263
 38  87 4.2197
 38  88 4.2198
 38  89 4.2380
 38  90 4.2606
 38  91 4.2747
 38  92 4.2949
 38  93 4.3062
 38  94 4.3244
 38  95 4.3370
 38  96 4.3612
 38  97 4.3725
 38  98 4.4578
 38  99 4.4710
 38 100 4.4874
 39  89 4.2417
 40  87 4.2820
 40  88 4.2812
 40  89 4.2715
 40  90 4.2696
 40  91 4.2844
 40  92 4.3057
 40  94 4.3312
 40  96 4.3498
 40  97 4.3933
 40  98 4.4185
 40  99 4.4349
 40 100 4.5220
 40 101 4.5487
 40 102 4.5690
 41  93 4.3241
 42  92 4.3156
 43  94 4.3518
 43  95 4.3617
 43  96 4.3841
 43  97 4.3877
 43  98 4.4088
 43 100 4.4458
 44  96 4.3927
 44  98 4.4232
 44  99 4.4346
 44 100 4.4536
 44 101 4.4616
 44 102 4.4818
 44 104 4.5104
 45 103 4.4942
 46 102 4.4839
 46 104 4.5086
 46 105 4.5158
 46 106 4.5322
 46 108 4.5563
 46 110 4.5776
 47 101 4.4712
 47 103 4.4976
 47 104 4.5069
 47 105 4.5237
 47 107 4.5442
 47 109 4.5647
 48 102 4.4704
 48 103 4.4860
 48 104 4.5052
 48 105 4.5157
 48 106 4.5340
 48 107 4.5438
 48 108 4.5538
 48 109 4.5590
 48 110 4.5743
 48 111 4.5798
